Title,Total Earnings,Foriegn Earnings,Year,IMDB
Dragonheart,"$115,300,000 ","$51,400,000 ",1996,5.7
Striptease,"$113,300,000 ","$33,100,000 ",1996,4.5
The Cable Guy,"$102,800,000 ","$60,200,000 ",1996,6.1
Primal Fear,"$102,600,000 ","$56,100,000 ",1996,7.7
Mars Attacks!,"$101,400,000 ","$37,800,000 ",1996,6.3
Courage Under Fire,"$100,900,000 ","$59,000,000 ",1996,6.6
Up Close and Personal,"$100,700,000 ","$51,100,000 ",1996,6.6
One Fine Day,"$97,500,000 ","$46,200,000 ",1996,6.5
The Long Kiss Goodnight,"$89,500,000 ","$33,400,000 ",1996,6.8
Fargo,"$60,600,000 ","$24,600,000 ",1996,8.1
Chain Reaction,"$60,200,000 ","$21,200,000 ",1996,5.6
The Quest,"$57,400,000 ","$21,700,000 ",1996,5.6
The Island of Dr. Moreau,"$49,600,000 ","$27,700,000 ",1996,4.5
Last Man Standing,"$47,300,000 ","$18,100,000 ",1996,6.4
Set It Off,"$41,600,000 ","$36,500,000 ",1996,6.9
Happy Gilmore,"$41,200,000 ","$38,800,000 ",1996,7
Sgt. Bilko,"$38,000,000 ","$30,400,000 ",1996,5.8
Down Periscope,"$37,600,000 ","$25,800,000 ",1996,6.1
Shine,"$35,900,000 ","$35,900,000 ",1996,7.7
A Thin Line Between Love and Hate,"$35,600,000 ","$34,800,000 ",1996,5.7
That Thing You Do!,"$34,600,000 ","$25,900,000 ",1996,6.9
The Frighteners,"$29,400,000 ","$16,800,000 ",1996,7.1
Bed of Roses,"$27,300,000 ","$19,000,000 ",1996,6.1
In Love and War,"$25,400,000 ","$14,500,000 ",1996,6
Bulletproof,"$22,600,000 ","$21,600,000 ",1996,5.8
The Chamber,"$22,500,000 ","$14,600,000 ",1996,6
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"$20,100,000 ","$20,100,000 ",1996,6.6
Mary Reilly,"$12,400,000 ","$5,700,000 ",1996,5.8
Hamlet (1996),"$4,700,000 ","$4,700,000 ",1996,5.8
Stealing Beauty,"$4,700,000 ","$4,700,000 ",1996,6.6
Antonia's Line,"$4,200,000 ","$4,200,000 ",1996,6.6
Kansas City,"$1,400,000 ","$1,400,000 ",1996,6.4
Bad Moon,"$1,100,000 ","$1,100,000 ",1996,5.8
Chungking Express,"$600,000 ","$600,000 ",1996,5.8
Of Love and Shadows,"$19,700 ","$19,700 ",1996,5.8
Titanic,"$2,128,900,000 ","$600,800,000 ",1997,7.8
The Lost World: Jurassic Park,"$618,600,000 ","$229,100,000 ",1997,6.6
Men in Black,"$589,400,000 ","$250,700,000 ",1997,7.3
Tomorrow Never Dies,"$333,000,000 ","$125,300,000 ",1997,6.5
Air Force One,"$315,200,000 ","$173,000,000 ",1997,6.5
As Good as It Gets,"$314,200,000 ","$148,500,000 ",1997,7.7
Liar Liar,"$302,700,000 ","$181,400,000 ",1997,6.9
My Best Friend's Wedding,"$299,300,000 ","$127,100,000 ",1997,6.3
The Fifth Element,"$263,900,000 ","$63,800,000 ",1997,7.7
The Full Monty,"$257,900,000 ","$46,000,000 ",1997,7.2
Star Wars (Special Edition),"$256,900,000 ","$138,300,000 ",1997,7.2
Hercules,"$252,700,000 ","$99,100,000 ",1997,7.3
Bean,"$251,200,000 ","$45,300,000 ",1997,6.5
Face/Off,"$245,700,000 ","$112,300,000 ",1997,7.3
Batman and Robin,"$238,200,000 ","$107,300,000 ",1997,7.3
Good Will Hunting,"$225,900,000 ","$138,400,000 ",1997,8.3
Con Air,"$224,000,000 ","$101,100,000 ",1997,6.9
Dante's Peak,"$178,100,000 ","$67,100,000 ",1997,5.9
Flubber,"$178,000,000 ","$93,000,000 ",1997,5.3
George of the Jungle,"$174,500,000 ","$105,300,000 ",1997,5.4
Scream 2,"$172,400,000 ","$101,400,000 ",1997,6.1
Contact,"$171,100,000 ","$100,900,000 ",1997,7.4
Speed 2: Cruise Control,"$164,500,000 ","$48,600,000 ",1997,3.9
Alien Resurrection,"$161,400,000 ","$47,800,000 ",1997,3.9
The Jackal,"$159,300,000 ","$54,900,000 ",1997,6.4
The Devil's Advocate,"$152,900,000 ","$60,900,000 ",1997,7.5
The Devil's Own,"$140,800,000 ","$42,900,000 ",1997,6.2
Anastasia,"$139,800,000 ","$58,400,000 ",1997,7.1
Conspiracy Theory,"$137,000,000 ","$76,000,000 ",1997,6.7
Anaconda,"$136,900,000 ","$65,900,000 ",1997,4.8
Seven Years in Tibet,"$131,500,000 ","$38,000,000 ",1997,7.1
L.A. Confidential,"$126,200,000 ","$64,600,000 ",1997,8.2
