Title,Earnings,Opening Weekend,Opening Date,Close Date
The Hunger,"5,979,292","1,832,898",4/29/1983,NA
Local Hero,"5,895,761","23,567",2/18/1983,NA
Porky's (Re-issue),"5,797,190","2,139,827",5/6/1983,NA
Under Fire,"5,696,391","1,837,768",10/21/1983,NA
Smokey & the Bandit Part III,"5,678,950","1,728,060",8/12/1983,NA
A Night in Heaven,"5,563,663","1,835,421",11/18/1983,NA
The Star Chamber,"5,555,305","1,980,105",8/5/1983,NA
The Grey Fox,"5,516,140",N/A,3/13/1983,NA
Vertigo (1983 re-issue),"5,343,461",N/A,10/28/1983,NA
The Dresser,"5,310,748","26,877",12/9/1983,NA
Metalstorm,"5,301,085","2,019,000",8/19/1983,NA
Vigilante,"5,091,888","1,588,464",3/4/1983,NA
Eddie and the Cruisers,"4,786,789","1,444,886",9/23/1983,NA
Curse of the Pink Panther,"4,491,986","1,641,182",8/12/1983,NA
Mortuary,"4,319,001","763,184",9/2/1983,NA
Trenchcoat,"4,304,286","2,192,621",3/11/1983,NA
Yellowbeard,"4,300,000","1,564,155",6/24/1983,NA
The Keep,"4,218,594","1,032,295",12/16/1983,NA
Joysticks,"3,952,448","1,431,065",3/4/1983,NA
Let's Spend the Night Together,"3,821,199","1,319,050",2/11/1983,NA
La Traviata,"3,783,329",N/A,4/22/1983,NA
The Return of Martin Guerre,"3,704,433",N/A,6/3/1983,NA
Running Brave,"3,000,000","441,145",11/4/1983,NA
Yor: Hunter from the Future,"2,810,199","2,810,199",8/19/1983,NA
The Final Option,"2,666,873","750,259",9/16/1983,NA
The King of Comedy,"2,536,242","137,624",2/18/1983,NA
Rumble Fish,"2,494,480","18,985",10/8/1983,NA
The Man Who Wasn't There (1983),"2,443,487","1,379,502",8/12/1983,NA
Table for Five,"2,439,705","148,208",2/18/1983,NA
Tough Enough,"2,433,722","725,117",3/25/1983,NA
The Evil Dead,"2,400,000",N/A,1/1/1983,NA
"Man, Woman and Child","2,314,561","802,702",4/1/1983,NA
Merry Christmas Mr. Lawrence,"2,306,560","99,221",8/26/1983,NA
The Draughtsman's Contract,"2,256,246",N/A,4/29/1983,NA
The Night of the Shooting Stars,"2,251,121",N/A,1/21/1983,NA
Videodrome,"2,120,439","1,194,175",2/4/1983,NA
Friday the 13th Part III (Re-issue),"2,108,548","788,797",5/13/1983,NA
Screwballs,"2,082,215","210,000",4/1/1983,NA
Testament,"2,044,892","317,996",11/4/1983,NA
Pieces,"2,032,311","604,510",9/23/1983,NA
Nate and Hayes,"1,963,756","815,160",11/18/1983,NA
"Baby, It's You","1,867,792","12,420",3/4/1983,NA
Heat and Dust,"1,741,435",N/A,9/15/1983,NA
Koyaanisqatsi,"1,723,872",N/A,4/27/1983,NA
Stryker,"1,723,487",N/A,9/2/1983,NA
Get Crazy,"1,645,711",N/A,8/5/1983,NA
Lianna,"1,530,839",N/A,1/18/1983,NA
Strange Invaders,"1,362,303","655,461",9/16/1983,NA
Eddie Macon's Run,"1,262,691",N/A,-/1983,NA
Losin' It,"1,246,141","437,257",4/8/1983,NA
The Lonely Lady,"1,223,220","1,223,220",9/30/1983,NA
Possession (1983),"1,113,538",N/A,10/28/1983,NA
"Say Amen, Somebody","1,108,299",N/A,3/11/1983,NA
Of Unknown Origin,"1,080,470","540,446",11/23/1983,NA
Getting It On,"975,414","975,414",8/19/1983,NA
Rocky III (Re-issue),"902,228","902,228",5/6/1983,NA
Enigma (1983),"893,967",N/A,-/1983,NA
Over the Brooklyn Bridge,"837,914",N/A,-/1983,NA
The Ballad of Gregorio Cortez,"804,963","15,477",8/19/1983,NA
L'Etoile du Nord,"781,151",N/A,-/1983,NA
Lonely Hearts (1983),"777,087",N/A,9/4/1983,NA
Fire and Ice,"760,883","263,238",8/26/1983,NA
The Wicked Lady,"724,912",N/A,-/1983,NA
The Pirates of Penzance,"694,497","255,496",2/18/1983,NA
Daniel,"687,475",N/A,8/26/1983,NA
Poltergeist (re-issue),"536,108","536,108",5/20/1983,NA
Streamers,"378,452",N/A,10/14/1983,NA
Britannia Hospital,"375,713",N/A,3/4/1983,NA
Boarding School,"306,061",N/A,9/9/1983,NA
Heart Like a Wheel,"272,278",N/A,4/1/1983,NA
Puberty Blues,"237,000","7,381",7/15/1983,NA
The Girl with Red Hair,"39,001",N/A,2/25/1983,NA
Rock and Rule,"30,379",N/A,4/15/1983,NA
Beverly Hills Cop,"234,760,478","15,214,805",12/5/1984,NA
Ghostbusters,"229,242,989","13,578,151",6/8/1984,NA
Indiana Jones and the Temple of Doom,"179,870,271","25,337,110",5/23/1984,NA
Gremlins,"148,168,459","12,511,634",6/8/1984,NA
The Karate Kid,"90,815,558","5,031,753",6/22/1984,NA
Police Academy,"81,198,894","8,570,007",3/23/1984,NA
Footloose,"80,035,402","8,556,935",2/17/1984,NA
Romancing the Stone,"76,572,238","5,105,741",3/30/1984,NA
Star Trek III: The Search for Spock,"76,471,046","16,673,295",6/1/1984,NA
Splash,"69,821,334","6,174,059",3/9/1984,NA
Purple Rain,"68,392,977","7,766,201",7/27/1984,NA
Amadeus,"51,564,280","505,276",9/21/1984,NA
Tightrope,"48,143,579","9,156,545",8/17/1984,NA
The Natural,"47,951,979","5,088,381",5/11/1984,NA
Greystoke: The Legend of Tarzan,"45,858,563","6,517,732",3/30/1984,NA
Revenge of the Nerds,"40,874,452","1,513,090",7/20/1984,NA
2010,"40,400,657","7,393,361",12/7/1984,NA
Breakin',"38,682,707","6,047,686",5/4/1984,NA
Bachelor Party,"38,435,947","4,573,530",6/29/1984,NA
Red Dawn (1984),"38,376,497","8,230,381",8/10/1984,NA
The Terminator,"38,371,200","4,020,663",10/26/1984,NA
City Heat,"38,348,988","6,301,694",12/7/1984,NA
All of Me,"36,403,064","5,803,848",9/21/1984,NA
Places in the Heart,"34,901,614","274,279",9/21/1984,NA
The Killing Fields,"34,700,291","32,181",11/2/1984,NA
Friday the 13th: Final Chapter,"32,980,880","11,183,148",4/13/1984,NA
Conan the Destroyer,"31,042,035","6,958,872",6/29/1984,NA
Dune,"30,925,690","6,025,091",12/14/1984,NA
The Gods Must Be Crazy,"30,031,783","231,693",4/6/1984,NA
Starman,"28,744,356","2,872,022",12/14/1984,NA
The Last Starfighter,"28,733,290","6,011,695",7/13/1984,NA
Cannonball Run II,"28,078,073","8,323,948",6/29/1984,NA
Teachers,"27,774,237","7,013,366",10/5/1984,NA
A Passage to India,"27,187,653","84,580",12/14/1984,NA
Pinocchio (Re-issue) (1984),"26,414,038","3,769,251",12/21/1984,NA
Protocol,"26,186,631","3,427,840",12/21/1984,NA
Micki and Maude,"26,080,861","2,742,458",12/21/1984,NA
The Cotton Club,"25,928,721","2,903,603",12/14/1984,NA
The Muppets Take Manhattan,"25,534,703","4,416,022",7/13/1984,NA
A Nightmare on Elm Street,"25,504,513","1,271,000",11/9/1984,NA
The Woman in Red,"25,308,147","3,159,811",8/17/1984,NA
Moscow on the Hudson,"25,068,724","3,536,687",4/6/1984,NA
The Flamingo Kid,"23,859,382","2,015,076",12/21/1984,NA
Sixteen Candles,"23,686,027","4,461,520",5/4/1984,NA
The Jungle Book (re-issue) (1984),"23,456,945","5,291,670",7/27/1984,NA
Missing in Action,"22,812,411","6,101,460",11/16/1984,NA
A Soldier's Story,"21,821,347","156,383",9/14/1984,NA
Against All Odds,"21,689,062","3,766,128",3/2/1984,NA
"Oh, God! You Devil!","21,538,850","5,560,001",11/9/1984,NA
Rhinestone,"21,435,321","5,459,726",6/22/1984,NA
Weekend Pass,"21,058,033","1,451,676",2/3/1984,NA
Top Secret!,"20,458,340","4,406,205",6/22/1984,NA
Hot Dog... The Movie,"20,307,325","4,506,756",1/13/1984,NA
The Neverending Story,"20,158,808","4,325,823",7/20/1984,NA
Unfaithfully Yours (1984),"19,928,200","3,774,126",2/10/1984,NA
Best Defense,"19,265,302","7,872,297",7/20/1984,NA
Blame It on Rio,"18,644,570","3,437,660",2/17/1984,NA
Lassiter,"17,513,452","5,027,583",2/17/1984,NA
Angel,"17,488,564","2,214,824",1/13/1984,NA
Johnny Dangerously,"17,124,395","2,947,746",12/21/1984,NA
Firestarter,"17,080,167","4,726,660",5/11/1984,NA
Beat Street,"16,595,791","5,218,040",6/8/1984,NA
Breakin' 2: Electric Boogaloo,"15,101,131","2,921,030",12/21/1984,NA
Children of the Corn,"14,568,989","2,042,821",3/9/1984,NA
Night of the Comet,"14,418,922","3,580,578",11/16/1984,NA
Supergirl,"14,296,438","5,738,249",11/21/1984,NA
Ice Pirates,"14,255,801","4,358,022",3/16/1984,NA
The Evil That Men Do,"13,102,025","4,538,400",9/21/1984,NA
Irreconcilable Differences,"12,414,210","3,076,894",9/28/1984,NA
Dreamscape,"12,145,169","2,257,627",8/17/1984,NA
Up the Creek,"11,708,269","3,210,882",4/6/1984,NA
The River,"11,489,982","30,027",12/21/1984,NA
Tank,"11,302,884","4,035,960",3/16/1984,NA
Falling in Love,"11,129,057","2,293,710",11/21/1984,NA
Hard to Hold,"11,113,806","3,410,001",4/6/1984,NA
The Wild Life,"11,020,375","4,001,400",9/28/1984,NA
Broadway Danny Rose,"10,600,497","953,794",1/27/1984,NA
Where the Boys Are (1984),"10,530,000","3,665,088",4/6/1984,NA
Thief of Hearts,"10,435,015","3,091,670",10/19/1984,NA
Terror in the Aisles,"10,004,817","4,009,866",10/26/1984,NA
Cloak and Dagger,"9,719,952","2,862,025",8/10/1984,NA
Country,"9,640,000","24,443",9/28/1984,NA
Bolero,"8,914,881","4,579,240",8/31/1984,NA
Body Double,"8,801,940","2,837,978",10/26/1984,NA
Oxford Blues,"8,793,152","2,486,418",8/24/1984,NA
The Bounty,"8,613,462","2,622,306",5/4/1984,NA
1984,"8,430,492","29,897",12/14/1984,NA
Reckless,"8,289,916","2,446,016",2/3/1984,NA
The Philadelphia Experiment,"8,103,330","1,877,000",8/3/1984,NA
Streets of Fire,"8,089,290","2,426,500",6/1/1984,NA
Just the Way You Are,"7,889,694","2,291,803",11/16/1984,NA
The Little Drummer Girl,"7,828,841","2,632,719",10/19/1984,NA
Ninja 3: The Domination,"7,610,785","1,727,546",9/14/1984,NA
Iceman,"7,343,032","1,836,120",4/13/1984,NA
Hardbodies,"7,121,719","2,684,599",5/4/1984,NA
Alphabet City,"7,035,585","1,172,292",5/4/1984,NA
The Pope of Greenwich Village,"6,836,201","1,544,624",6/22/1984,NA
Runaway,"6,770,587","1,198,279",12/14/1984,NA
Swing Shift,"6,650,206","2,270,136",4/13/1984,NA
The Razor's Edge,"6,551,987","2,411,311",10/19/1984,NA
The Adventures of Buckaroo Banzai,"6,254,148","620,279",8/10/1984,NA
Firstborn,"6,250,994","1,606,214",10/26/1984,NA
Racing with the Moon,"6,045,647","1,803,432",3/23/1984,NA
Sheena,"5,778,353","2,950,114",8/17/1984,NA
The Lonely Guy,"5,718,573","2,072,130",1/27/1984,NA
Meatballs II,"5,410,972","2,515,268",7/27/1984,NA
Once Upon a Time in America,"5,321,508","2,412,014",6/1/1984,NA
Love Letters (1984),"5,269,990",N/A,4/27/1984,NA
The Hotel New Hampshire,"5,142,858","1,075,800",3/9/1984,NA
American Dreamer,"5,021,751","1,580,990",10/26/1984,NA
No Small Affair,"4,994,094","2,273,469",11/9/1984,NA
Stop Making Sense,"4,949,438","41,666",10/19/1984,NA
Harry and Son,"4,864,980","1,900,000",3/2/1984,NA
"Grandview, USA","4,743,119","2,194,293",8/3/1984,NA
C.H.U.D.,"4,654,423","1,762,922",8/31/1984,NA
Making the Grade,"4,561,346","1,760,856",5/18/1984,NA
This Is Spinal Tap,"4,491,645","30,835",3/2/1984,NA
Joy of Sex,"4,463,841","1,913,001",8/3/1984,NA
Mrs. Soffel,"4,385,312","86,280",12/28/1984,NA
Until September,"4,239,154","1,983,321",9/21/1984,NA
Pete's Dragon (Re-issue),"4,100,000",N/A,3/9/1984,NA
Entre Nous,"3,974,975",N/A,1/25/1984,NA
Flashpoint (1984),"3,854,833","1,916,222",8/31/1984,NA
Cheech and Chong's Corsican Bros.,"3,772,785","1,667,881",7/27/1984,NA
Exterminator II,"3,739,406","1,204,197",9/14/1984,NA
The Brother From Another Planet,"3,677,209",N/A,9/7/1984,NA
"Careful, He Might Hear You","2,938,179",N/A,6/15/1984,NA
Crimes of Passion,"2,912,945","1,103,210",10/19/1984,NA
The Warrior and the Sorceress,"2,886,225","574,210",9/7/1984,NA
Phar Lap,"2,878,404",N/A,4/13/1984,NA
Impulse,"2,773,433","995,570",9/28/1984,NA
The Bear (1984),"2,687,148","1,160,644",9/28/1984,NA
Under the Volcano,"2,556,800","31,000",6/15/1984,NA
"Silent Night, Deadly Night","2,491,460","1,432,800",11/9/1984,NA
Choose Me,"2,490,233",N/A,8/29/1984,NA
Stranger Than Paradise,"2,436,000",N/A,10/1/1984,NA
A Sunday in the Country,"2,411,143","103,710",11/16/1984,NA
Electric Dreams,"2,193,612","1,009,586",7/20/1984,NA
"Paris, Texas","2,181,987","58,586",11/2/1984,NA
Purple Hearts,"2,075,282",N/A,3/30/1984,NA
Mass Appeal,"1,945,658",N/A,-/1984,NA
The Buddy System,"1,820,049","524,672",1/20/1984,NA
Body Rock,"1,689,501","631,849",9/28/1984,NA
Misunderstood,"1,525,532","916,967",3/30/1984,NA
Garbo Talks,"1,493,782","127,192",10/12/1984,NA
Finders Keepers,"1,467,396","865,207",5/18/1984,NA
Birdy,"1,455,045","13,720",12/21/1984,NA
Escape 2000,"1,414,828",N/A,-/1984,NA
Sahara (1984),"1,402,962","550,848",3/2/1984,NA
Give My Regards to Broad St.,"1,393,501",N/A,Jan/1984,NA
Gabriela (1984),"1,318,839",N/A,1/1/1984,NA
A Christmas Story (Re-issue),"1,311,065","119,782",11/21/1984,NA
The River Rat,"1,142,944","441,466",9/21/1984,NA
Mike's Murder,"1,059,966","234,438",3/9/1984,NA
Comfort and Joy,"1,057,368",N/A,10/10/1984,NA
The Bostonians,"1,009,700",N/A,7/20/1984,NA
The Power,"929,162","929,162",1/20/1984,NA
Songwriter,"865,915","497,406",10/12/1984,NA
Scandalous,"526,805","274,933",1/20/1984,NA
Windy City,"343,890","104,754",9/21/1984,NA
The Stone Boy,"261,033",N/A,4/6/1984,NA
Champions,"200,498","54,262",4/20/1984,NA
Razorback,"150,140","89,331",11/16/1984,NA
Heartbreakers (1984),"148,750",N/A,9/28/1984,NA
Crackers,"129,268","58,689",2/17/1984,NA
Repo Man,"129,000","95,300",3/2/1984,NA
Eureka,"123,572",N/A,10/5/1984,NA
Slayground,"108,128","108,128",1/27/1984,NA
Back to the Future,"210,609,762","11,152,500",7/3/1985,NA
Rambo: First Blood Part II,"150,415,432","20,176,217",5/22/1985,NA
Rocky IV,"127,873,716","19,991,537",11/27/1985,NA
The Color Purple,"94,175,854","1,710,333",12/20/1985,NA
Out of Africa,"87,071,205","3,637,290",12/20/1985,NA
Cocoon,"76,113,124","7,936,427",6/21/1985,NA
The Jewel of the Nile,"75,973,200","6,645,455",12/13/1985,NA
Witness,"68,706,993","4,539,990",2/8/1985,NA
The Goonies,"61,389,680","9,105,913",6/7/1985,NA
Spies Like Us,"60,088,980","8,614,039",12/6/1985,NA
Police Academy 2: Their First Assignment,"55,600,000","10,675,896",3/29/1985,NA
Fletch,"50,612,888","7,022,970",5/31/1985,NA
A View to a Kill,"50,327,960","10,687,114",5/24/1985,NA
European Vacation,"49,364,621","12,329,627",7/26/1985,NA
Mask,"48,230,162","135,499",3/8/1985,NA
The Breakfast Club,"45,875,171","5,107,599",2/15/1985,NA
White Nights,"42,160,849","477,539",11/22/1985,NA
Pale Rider,"41,410,568","9,119,111",6/28/1985,NA
Pee-Wee's Big Adventure,"40,940,662","4,545,847",8/9/1985,NA
Brewster's Millions,"40,833,132","9,858,905",5/22/1985,NA
E.T.: The Extra-Terrestrial (Re-issue),"40,607,502","8,807,023",7/19/1985,NA
Jagged Edge,"40,491,165","4,094,091",10/4/1985,NA
St. Elmo's Fire,"37,803,872","6,128,157",6/28/1985,NA
Mad Max Beyond Thunderdome,"36,230,219","7,283,714",7/12/1985,NA
Commando,"35,100,000","7,700,015",10/4/1985,NA
Teen Wolf,"33,086,611","6,120,348",8/23/1985,NA
101 Dalmatians (Re-issue) (1985),"33,049,729","2,389,226",12/20/1985,NA
Silverado,"32,192,570","3,522,897",7/12/1985,NA
Murphy's Romance,"30,867,525","47,906",12/27/1985,NA
A Nightmare on Elm Street 2: Freddy's Revenge,"29,999,213","2,865,475",11/1/1985,NA
Desperately Seeking Susan,"27,398,584","1,526,098",3/29/1985,NA
Prizzi's Honor,"26,657,534","4,234,537",6/14/1985,NA
The Last Dragon,"25,754,284","5,254,359",3/22/1985,NA
Agnes of God,"25,627,836","221,552",9/13/1985,NA
Fright Night,"24,922,237","6,118,543",8/2/1985,NA
Summer Rental,"24,689,703","5,754,259",8/9/1985,NA
The Emerald Forest,"24,468,550","4,345,150",7/5/1985,NA
Weird Science,"23,834,048","4,895,421",8/2/1985,NA
Santa Claus: The Movie,"23,717,291","5,647,160",11/27/1985,NA
The Care Bears Movie ,"22,934,622","3,725,001",3/29/1985,NA
Friday the 13th - Part V,"21,930,418","8,032,883",3/22/1985,NA
The Black Cauldron,"21,288,692","4,180,110",7/26/1985,NA
Porky's Revenge (Part III),"20,518,905","6,207,507",3/22/1985,NA
Code of Silence,"20,345,361","5,512,461",5/3/1985,NA
Volunteers,"19,875,740","5,184,360",8/16/1985,NA
Young Sherlock Holmes,"19,739,575","2,538,234",12/6/1985,NA
Year of the Dragon,"18,707,466","4,093,079",8/16/1985,NA
Ladyhawke,"18,432,000","3,450,536",4/12/1985,NA
The Sure Thing,"18,135,531","3,124,782",3/1/1985,NA
Invasion U.S.A.,"17,536,256","6,891,609",9/27/1985,NA
To Live and Die in L.A.,"17,307,019","3,551,761",11/1/1985,NA
The Falcon and the Snowman,"17,130,087","2,358,846",1/25/1985,NA
Kiss of the Spider Woman,"17,005,229","55,962",7/26/1985,NA
Death Wish 3,"16,116,878","5,319,116",11/1/1985,NA
King Solomon's Mines,"15,057,465","5,005,788",11/22/1985,NA
Baby: Secret of the Lost Legend,"14,972,297","4,035,147",3/22/1985,NA
Clue,"14,643,997","2,014,166",12/13/1985,NA
Remo Williams: The Adventure Begins,"14,393,902","3,376,971",10/11/1985,NA
Return of the Living Dead,"14,237,880","4,403,169",8/16/1985,NA
A Chorus Line,"14,202,899","222,919",12/13/1985,NA
Tomboy,"14,100,000","1,723,935",1/25/1985,NA
Follow That Bird (Sesame St.),"13,961,370","2,415,626",8/2/1985,NA
One Magic Christmas,"13,677,222","2,662,241",11/22/1985,NA
Cat's Eye,"13,086,298","3,451,191",4/12/1985,NA
Vision Quest,"12,993,175","2,651,665",2/15/1985,NA
Real Genius,"12,952,019","2,557,180",8/9/1985,NA
Perfect,"12,918,858","4,222,810",6/7/1985,NA
Compromising Positions,"12,531,831","3,014,756",8/30/1985,NA
Silver Bullet,"12,361,866","4,013,563",10/11/1985,NA
Enemy Mine,"12,303,411","1,594,702",12/20/1985,NA
Lifeforce,"11,603,545","4,209,136",6/21/1985,NA
Just One of the Guys,"11,528,900","3,307,171",4/26/1985,NA
Return of the Jedi (Re-issue),"11,252,123","3,209,056",3/29/1985,NA
Return to Oz,"11,137,801","2,844,895",6/21/1985,NA
Krush Groove,"11,052,713","2,905,293",10/25/1985,NA
Gotcha!,"10,806,919","2,360,484",5/3/1985,NA
Missing in Action II: The Beginning,"10,755,447","3,868,515",3/1/1985,NA
The Purple Rose of Cairo,"10,631,333","114,095",3/1/1985,NA
Moving Violations,"10,627,754","3,469,488",4/19/1985,NA
After Hours,"10,609,321","45,435",9/13/1985,NA
American Ninja,"10,499,694","3,234,837",8/30/1985,NA
Better Off Dead,"10,297,601","56,371",8/23/1985,NA
Lost in America,"10,179,000","154,877",3/15/1985,NA
Once Bitten,"10,000,000","4,025,657",11/15/1985,NA
Brazil,"9,929,135","30,099",12/18/1985,NA
Explorers,"9,873,044","3,607,340",7/12/1985,NA
The Journey of Natty Gann,"9,708,373","490,318",9/27/1985,NA
Ghostbusters (Re-issue),"9,389,135","2,085,116",8/23/1985,NA
Tuff Turf,"9,369,329","1,509,380",1/11/1985,NA
Sweet Dreams,"9,085,049","2,161,284",10/4/1985,NA
Target,"9,023,199","2,670,522",11/8/1985,NA
Mischief,"8,692,426","2,618,460",2/8/1985,NA
The Man with One Red Shoe,"8,645,411","3,139,015",7/19/1985,NA
That Was Then... This Is Now,"8,630,068","2,502,780",11/8/1985,NA
Secret Admirer,"8,622,757","2,414,984",6/14/1985,NA
Stick,"8,489,518","3,358,299",4/26/1985,NA
Twice in a Lifetime,"8,402,424","1,036,429",10/25/1985,NA
Fantasia (Re-issue) (1985),"8,194,726","980,798",2/8/1985,NA
D.A.R.Y.L.,"7,840,873","2,649,832",6/14/1985,NA
Runaway Train,"7,683,620","2,601,480",12/6/1985,NA
He-Man and She-Ra in The Secret of the Sword,"7,660,857",N/A,3/22/1985,NA
Into the Night,"7,562,164","2,574,438",2/22/1985,NA
The Trip to Bountiful,"7,491,903","8,387",12/20/1985,NA
Transylvania 6-5000,"7,196,872","2,507,542",11/8/1985,NA
Red Sonja,"6,948,633","2,263,553",7/5/1985,NA
Here Come the Littles,"6,565,359",N/A,1/18/1985,NA
Girls Just Want to Have Fun,"6,326,051","1,650,078",4/12/1985,NA
Plenty,"6,148,000","436,266",9/19/1985,NA
Rustler's Rhapsody,"6,090,497","2,374,973",5/10/1985,NA
Heaven Help Us,"6,070,794","2,235,687",2/8/1985,NA
Gymkata,"5,730,596","1,261,845",5/3/1985,NA
Avenging Angel,"5,622,787","1,755,264",1/11/1985,NA
Creator,"5,349,607","2,019,728",9/20/1985,NA
King David,"5,111,099","2,212,481",3/29/1985,NA
Day of the Dead,"5,000,000","1,700,000",7/19/1985,NA
Gremlins (Re-issue),"4,914,643","2,393,778",8/30/1985,NA
Rainbow Brite and the Star Stealer,"4,889,971","1,847,962",11/15/1985,NA
The Company of Wolves,"4,389,334","2,234,776",4/19/1985,NA
The Mean Season,"4,349,446","1,560,591",2/15/1985,NA
That's Dancing!,"4,210,938","1,506,802",1/18/1985,NA
My Science Project,"4,122,748","1,504,118",8/9/1985,NA
Godzilla 1985,"4,116,395","509,502",8/23/1985,NA
The Heavenly Kid,"3,852,271","1,614,225",7/26/1985,NA
Ran,"3,607,393",N/A,9/27/1985,NA
Turk 182,"3,594,997","1,589,234",2/15/1985,NA
The Bride,"3,558,669","1,763,277",8/16/1985,NA
Starchaser: The Legend of Orin,"3,360,800","1,614,660",11/22/1985,NA
Fraternity Vacation,"3,333,306","1,023,186",4/12/1985,NA
The Legend of Billie Jean,"3,099,497","1,466,884",7/19/1985,NA
Rappin',"2,864,844","1,802,204",5/10/1985,NA
Fast Forward,"2,791,350","1,571,394",2/15/1985,NA
Hot Moves,"2,732,684",N/A,5/17/1985,NA
Bad Medicine,"2,685,453","1,289,783",11/22/1985,NA
Maxie,"2,564,278","1,121,531",9/27/1985,NA
A Private Function,"2,527,088","25,333",3/1/1985,NA
Marie,"2,507,995","241,423",9/27/1985,NA
Dance with a Stranger,"2,174,622",N/A,8/9/1985,NA
Blood Simple,"2,150,000",N/A,1/18/1985,NA
The Quiet Earth,"2,123,135","9,825",10/18/1985,NA
Re-Animator,"2,023,414","543,728",10/18/1985,NA
Warning Sign,"1,918,117",N/A,8/23/1985,NA
Bring On the Night,"1,890,571","1,132,112",11/8/1985,NA
The Slugger's Wife,"1,878,561","1,314,993",3/29/1985,NA
Heavenly Bodies,"1,839,623","1,114,635",2/1/1985,NA
American Flyers,"1,420,355","78,345",8/16/1985,NA
Certain Fury,"1,381,091",N/A,3/1/1985,NA
The Perils of Gwendolyn in the Land of Yik Yak,"1,337,274","1,337,274",1/25/1985,NA
The Aviator (1985),"1,304,192",N/A,3/1/1985,NA
Wetherby,"1,299,985","37,283",7/19/1985,NA
Dreamchild,"1,215,923",N/A,10/4/1985,NA
Def-Con 4,"1,057,064","210,904",3/15/1985,NA
The Protector (1985),"981,817",N/A,8/23/1985,NA
The Hit,"876,775",N/A,3/8/1985,NA
